x y
-0.500000 10.016
-0.350000 7.104
-0.200000 4.930
-0.050000 3.335
0.100000 2.186
0.250000 1.377
0.400000 0.823
0.550000 0.457
0.700000 0.226
0.850000 0.089
1.000000 0.016
1.150000 -0.016
1.300000 -0.022
1.450000 -0.015
1.600000 -0.002
1.750000 0.012
1.900000 0.024
2.050000 0.034
2.200000 0.041
2.350000 0.045
2.500000 0.047
2.650000 0.048
2.800000 0.048
2.950000 0.048
3.100000 0.048
3.250000 0.049
3.400000 0.051
3.550000 0.054
3.700000 0.057
3.850000 0.060
4.000000 0.064
4.150000 0.067
4.300000 0.071
4.450000 0.073
4.600000 0.076
4.750000 0.078
4.900000 0.079
5.050000 0.080
5.200000 0.082
5.350000 0.083
5.500000 0.086
5.650000 0.089
5.800000 0.092
5.950000 0.097
6.100000 0.103
6.250000 0.110
6.400000 0.117
6.550000 0.126
6.700000 0.134
6.850000 0.142
7.000000 0.149
7.150000 0.155
7.300000 0.160
7.450000 0.162
7.600000 0.163
7.750000 0.162
7.900000 0.159
8.050000 0.156
8.200000 0.152
8.350000 0.150
8.500000 0.150
8.650000 0.154
8.800000 0.163
8.950000 0.178
9.100000 0.198
9.250000 0.224
9.400000 0.251
9.550000 0.274
9.700000 0.284
9.850000 0.267
10.000000 0.202
10.150000 0.062
10.300000 -0.190
10.450000 -0.605
10.600000 -1.245
10.750000 -2.194
10.900000 -3.552
11.050000 -5.449
11.200000 -8.041
11.350000 -11.520
